일자,자원,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2021-01-01,태양광,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.07,4.78,16.81,44.53,52.61,39.06,27.75,22.62,15.22,8.02,1.89,0.1,0.81,0.11,0.01,0.01,0.01
2021-01-01,풍력,119.64,105.18,106.19,76.71,65.16,79.13,47.67,39.37,41.38,31.86,30.4,15.22,18.47,22.83,29.19,27.11,23.78,19.02,36.62,24.0,19.66,14.78,23.45,21.14
2021-01-02,태양광,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,8.77,31.07,40.68,51.44,77.47,98.86,109.39,76.44,30.46,6.49,4.43,3.87,1.45,0.84,0.13,0.01
2021-01-02,풍력,36.33,54.85,68.76,59.23,61.03,85.77,75.8,64.57,50.82,45.72,42.87,60.96,65.8,73.01,83.97,125.86,154.0,157.83,176.06,172.67,143.09,144.29,128.74,135.89
2021-01-03,태양광,0.04,0.01,,0.0,0.03,0.02,0.0,0.4,17.31,78.39,108.45,144.64,151.67,150.3,90.94,43.06,18.88,7.51,5.32,6.05,3.24,,0.64,0.23
2021-01-03,풍력,102.0,96.1,95.57,85.39,67.03,107.78,108.1,88.63,64.03,90.1,87.08,70.47,76.92,98.19,108.41,116.18,123.96,100.61,71.63,76.91,95.1,61.29,54.99,41.31
2021-01-04,태양광,0.22,0.14,0.0,0.0,0.03,0.05,0.05,0.61,22.17,85.38,123.1,126.72,127.67,127.7,94.88,57.92,25.28,4.76,5.44,3.82,1.21,0.86,0.14,0.06
2021-01-04,풍력,38.83,42.4,46.0,60.75,59.26,71.85,49.2,37.91,28.9,10.5,16.41,31.88,33.04,27.78,21.2,11.4,6.68,2.9,13.09,13.24,9.86,7.44,6.58,10.42
2021-01-05,태양광,0.05,0.01,0.0,0.0,0.02,0.05,0.04,0.25,3.51,11.07,43.5,40.16,48.45,49.64,50.22,39.88,26.25,2.93,4.68,3.17,0.51,0.03,0.04,0.0
2021-01-05,풍력,18.83,14.25,17.53,35.24,23.3,41.77,40.71,66.09,113.15,174.57,157.26,175.89,182.93,183.29,186.72,160.0,164.3,192.1,168.77,145.27,141.74,119.17,109.69,105.63
2021-01-06,태양광,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.12,3.87,20.88,25.96,48.74,66.3,108.92,105.64,53.08,15.7,2.83,5.48,3.22,1.06,0.12,0.08,0.0
2021-01-06,풍력,89.39,100.63,123.53,121.02,122.0,117.56,87.51,75.58,67.96,64.2,58.88,54.74,81.0,89.66,104.48,115.59,131.71,131.64,120.04,119.19,100.19,86.64,103.92,135.09
2021-01-07,태양광,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.08,5.33,14.93,13.36,20.25,25.13,24.53,16.9,11.85,3.93,1.54,3.1,1.58,0.05,0.02,0.0,0.0
2021-01-07,풍력,177.79,172.64,162.05,148.76,144.96,139.21,128.06,134.1,136.18,149.93,147.59,146.1,163.17,176.68,177.57,174.28,150.84,,145.13,150.89,131.1,97.72,100.98,116.2
2021-01-08,태양광,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,1.34,4.44,9.54,11.55,19.12,16.34,11.03,4.93,1.68,1.04,2.95,0.6,0.0,0.0,0.03,0.0
