일시,기온,강수량,풍속,습도,일조,일사,적설,전운량,지면온도
2021_01_01@0,4.5,,6.1,53.0,,,,9.0,2.2
2021_01_01@1,4.3,,5.6,58.0,,,,9.0,2.4
2021_01_01@2,4.2,,5.5,54.0,,,,10.0,2.3
2021_01_01@3,4.3,0.0,5.4,52.0,,,,10.0,2.2
2021_01_01@4,4.2,,4.2,47.0,,,,10.0,2.0
2021_01_01@5,4.4,,5.2,50.0,,,,9.0,2.1
2021_01_01@6,4.3,0.0,4.2,49.0,,,,9.0,2.0
2021_01_01@7,4.6,,4.5,53.0,,,,9.0,2.3
2021_01_01@8,4.6,,4.5,54.0,0.0,0.0,,9.0,2.5
2021_01_01@9,4.8,0.0,2.6,54.0,0.0,0.14,,9.0,3.0
2021_01_01@10,4.9,,3.0,48.0,0.0,0.27,,9.0,3.9
2021_01_01@11,5.5,,3.0,49.0,0.1,0.47,,9.0,6.0
2021_01_01@12,5.4,0.0,3.2,53.0,0.0,0.26,,10.0,4.9
2021_01_01@13,5.8,,3.9,56.0,0.0,0.34,,9.0,5.6
2021_01_01@14,5.9,,4.0,54.0,0.0,0.41,,9.0,5.6
2021_01_01@15,6.1,0.0,3.9,54.0,0.0,0.2,,9.0,5.2
2021_01_01@16,6.1,,3.6,54.0,0.0,0.33,,9.0,5.3
2021_01_01@17,6.0,,4.3,55.0,0.0,0.12,,9.0,4.4
2021_01_01@18,6.0,0.0,3.4,56.0,0.0,0.01,,9.0,4.0
2021_01_01@19,6.1,,3.3,57.0,,,,8.0,3.9
2021_01_01@20,6.3,,2.3,55.0,,,,8.0,3.9
2021_01_01@21,5.5,,1.9,61.0,,,,9.0,3.8
2021_01_01@22,6.5,,2.3,56.0,,,,8.0,4.1
2021_01_01@23,6.9,,3.9,59.0,,,,9.0,4.3
2021_01_02@0,7.2,0.0,4.8,56.0,,,,9.0,4.4
2021_01_02@1,7.1,,5.2,46.0,,,,9.0,3.9
2021_01_02@2,6.9,,4.8,51.0,,,,9.0,3.9
2021_01_02@3,6.8,,5.3,51.0,,,,9.0,3.8
2021_01_02@4,6.8,,4.5,52.0,,,,9.0,3.8
2021_01_02@5,6.7,,5.1,54.0,,,,9.0,3.9
2021_01_02@6,6.8,,5.5,51.0,,,,9.0,3.7
2021_01_02@7,6.8,,5.0,49.0,,,,9.0,3.7
2021_01_02@8,7.0,,5.1,43.0,0.0,0.0,,9.0,3.6
2021_01_02@9,7.2,,4.8,50.0,0.0,0.07,,9.0,4.3
2021_01_02@10,7.3,,4.8,51.0,0.0,0.23,,9.0,5.5
2021_01_02@11,7.6,,4.5,61.0,0.0,0.57,,8.0,7.0
2021_01_02@12,7.1,0.0,4.0,70.0,0.0,0.52,,8.0,7.7
2021_01_02@13,7.2,,5.0,68.0,0.1,0.69,,8.0,9.2
2021_01_02@14,7.6,,4.3,63.0,0.3,1.2,,8.0,12.2
2021_01_02@15,7.7,0.0,5.0,56.0,0.4,1.06,,7.0,9.1
2021_01_02@16,6.6,,3.5,56.0,0.4,0.75,,8.0,7.1
2021_01_02@17,5.8,,3.7,61.0,0.2,0.33,,7.0,5.3
2021_01_02@18,5.0,,3.9,61.0,0.0,0.03,,7.0,3.5
2021_01_02@19,4.3,,4.2,51.0,,,,2.0,2.0
2021_01_02@20,3.9,,3.5,57.0,,,,1.0,1.2
2021_01_02@21,3.7,,2.9,57.0,,,,2.0,0.8
2021_01_02@22,3.6,,3.0,58.0,,,,2.0,0.6
2021_01_02@23,3.1,,4.2,60.0,,,,2.0,0.4
2021_01_03@0,3.0,,3.5,55.0,,,,3.0,0.3
2021_01_03@1,3.0,,1.5,62.0,,,,7.0,0.9
